^3 = NAME: Next Generation Tennis 2003 (Pal-Unk)
^2 = GameID: SLES-50809
!Master Codes:
+(M) Must Be On
%Credits: Codejunkies
$F0169A50 001EDAEF
+(M) Must Be On
%Credits: Codejunkies
$F01EDAEC 001EDAEF
$200FFF00 3C030054
$200FFF04 8C637F40
$200FFF08 24040003
$200FFF0C 10030003
$200FFF24 24030070
$200FFF28 0807B6A6
$201EDA94 0803FFC0
!!
!Dementieva Size Codes:
+Giant Dementieva
%Credits: Codejunkies
$20531020 40400000
$2053101C 40400000
+Pocket Dementieva
%Credits: Codejunkies
$20531020 3F500000
$2053101C 3F500000
!!
!Grosjean Size Codes:
+Giant Grosjean
%Credits: Codejunkies
$20530FA4 40400000
$20530FA8 40400000
+Pocket Grosjean
%Credits: Codejunkies
$20530FA4 3F500000
$20530FA8 3F500000
!!
!Henman Size Codes:
+Giant Henman
%Credits: Codejunkies
$20530FB8 40400000
$20530FBC 40400000
+Pocket Henman
%Credits: Codejunkies
$20530FB8 3F500000
$20530FBC 3F500000
!!
+Infinite Credits
%Credits: Codejunkies
$002579D0 00000009
!Kiefer Size Codes:
+Giant Kiefer
%Credits: Codejunkies
$20530FCC 40400000
$20530FD0 40400000
+Pocket Kiefer
%Credits: Codejunkies
$20530FCC 3F500000
$20530FD0 3F500000
!!
!Kuerten Size Codes:
+Giant Kuerten
%Credits: Codejunkies
$20530FE0 40400000
$20530FE4 40400000
+Pocket Kuerten
%Credits: Codejunkies
$20530FE0 3F500000
$20530FE4 3F500000
!!
!Martin Size Codes:
+Giant Martin
%Credits: Codejunkies
$20530FF4 40400000
$20530FF8 40400000
+Pocket Martin
%Credits: Codejunkies
$20530FF4 3F500000
$20530FF8 3F500000
!!
+Must Be On For Points
%Credits: Codejunkies
$200FFF00 3C030054
$200FFF04 8C637F40
$200FFF08 24040003
$200FFF0C 10030003
$200FFF24 24030070
$200FFF28 0807B6A6
$201EDA94 0803FFC0
+Press Select+L2 For 40/00
%Credits: Codejunkies
$D0252D82 0000FEFE
$200FFF14 A0640F7A
$D0252D82 0000FEFE
$200FFF18 A0600F81
+Press Select+R2 For 00/40
%Credits: Codejunkies
$D0252D82 0000FDFE
$200FFF14 A0600F7A
$D0252D82 0000FDFE
$200FFF18 A0640F81
!Razzano Size Codes:
+Giant Razzano
%Credits: Codejunkies
$20531030 40400000
$20531034 40400000
+Pocket Razzano
%Credits: Codejunkies
$20531030 3F500000
$20531034 3F500000
!!
!Robredo Size Codes:
+Giant Robredo
%Credits: Codejunkies
$2053100C 40400000
$20531008 40400000
+Pocket Robredo
%Credits: Codejunkies
$2053100C 3F500000
$20531008 3F500000
!!
!Rubin Size Codes:
+Giant Rubin
%Credits: Codejunkies
$20531048 40400000
$20531044 40400000
+Pocket Rubin
%Credits: Codejunkies
$20531048 3F500000
$20531048 3F500000
!!
!Schett Size Codes:
+Giant Schett
%Credits: Codejunkies
$20531058 40400000
$2053105C 40400000
+Pocket Schett
%Credits: Codejunkies
$20531058 3F500000
$2053105C 3F500000
!!
!!

