^2 = GameID: CUSA30305,CUSA27746,CUSA30304,CUSA30306
^3 = NAME: Demon Gaze Extra
^SECONDLAYER: YES
^4 = FILE: DemonGaze\(DGAZ_[0-9]+|DGAUTO).SAV
+Max Current Items
$40001D76 00000063
$40630020 00000000

^6 = MODS:

[/ITEM]
VALUE>NAME
0100	Rusted Sword
0200	Battle Dagger
0300	Main Gaunche
0400	Thief Dagger
0500	Wind Dagger
0600	Raider Knife
0700	Mythryl Dagger
0800	Holy Knife
0900	Midgard Tooth
0A00	Elder Kris
0B00	Drake Tooth
0C00	Mom's Cleaver
0D00	Flash Edge
0E00	Short-Sword
0F00	Longsword
1000	Broadsword
1100	Estoc
1200	Two-Handed Sword
1300	Fire Brand
1400	Ice Brand
1500	Berserk Sword
1600	Enhanced Sword
1700	Demon Slayer
1800	True Demon Slayer
1900	Escallion
1A00	Lord Enhancer
1B00	Dark Angel Sword
1C00	Drakalibur
1D00	X-Brand
1E00	Scarlet Sword
1F00	Dry Hander
2000	Rotten Hammer
2100	Wood Cutter
2200	Bandit Axe
2300	Light Axe
2400	Battle Axe
2500	Broad Axe
2600	Dwarf Axe
2700	Axe of the Dead
2800	Mythryl Axe
2900	Elder Mattock
2A00	Death Axe
2B00	Butterfly Range
2C00	Diamond Slasher
2D00	Dark Angel Axe
2E00	Dragon Slayer
2F00	Feather Axe
3000	Dinosaur Axe
3100	Big Hammer
3200	Ancient Mattock
3300	Mace
3400	Work Hammer
3500	War Hammer
3600	Cult Mace
3700	Morning Star
3800	Hammer of the Dead
3900	Pico Hammer
3A00	Saint Mace
3B00	Mythryl Hammer
3C00	Dark Angel's Mace
3D00	Picopico Hammer
3E00	Bloody Trophy
3F00	Good Morning
4000	Bamboo Sword
4100	Wooden Sword
4200	Katana
4300	Murderer Katana
4400	Long Katana
4500	Wakizashi
4600	Tachi
4700	Samurai Katana
4800	Seasoned Katana(S)
4900	Seasoned Katana(L)
4A00	Kenkyaku Katana
4B00	Dragon Katana
4C00	Kunimitsu
4D00	White Dragon
4E00	Masamune
4F00	Majin Katana
5000	Komuramasa
5100	Sky Dragon Katana
5200	Moon Katana
5300	Murasame
5400	Muramasa
5500	Big Muramasa
5600	Muratome
5700	Gishi's Wakizashi
5800	Mineuchi
5900	Katana
5A00	Bent Spear
5B00	Bamboo Spear
5C00	Spear
5D00	Wind Spear
5E00	Lance
5F00	White Lance
6000	Hunter Spear
6100	Halberd
6200	Magic Spear
6300	Lance of the Dead
6400	Elven Spear
6500	Kenkyaku Spear
6600	Dar Lance
6700	Mythryl Spear
6800	Star Tree Javelin
6900	Demon Halberd
6A00	Majestic Lance
6B00	Dark Angel Spear
6C00	Legendary Spear
6D00	Valkyrius
6E00	Poinirius
6F00	Devil Fork
7000	Wyvern Tail
7100	Gate Keeper
7200	Gale Javelin
7300	Pebble
7400	Boomerang
7500	Dart
7600	Throwing Knife
7700	Copper Katar
7800	Steel Katar
7900	Heavy Boomerang
7A00	Silver Katar
7B00	Shuriken
7C00	Moon Jamadhar
7D00	Charkam
7E00	Mythryl Katar
7F00	Fuma Shuriken
8000	Death Jamadhar
8100	Holy Jamadhar
8200	Angry Chakram
8300	Enhanced Katar
8400	Evil Chakram
8500	Heavenly Jamadhar
8600	Eden's White Ring
8700	Drake Katar
8800	Foo Fighter
8900	Red Shuriken
8A00	Eclipse
8B00	Cat Claw
8C00	Bunny Tooth
8D00	Broken Staff
8E00	Magic Staff
8F00	Forest Broom
9000	Healing Staff
9100	Fog Staff
9200	Treant Broom
9300	Battle Staff
9400	Magician Staff
9500	Dyrad Broom
9600	Wisp Rod
9700	Spirit Staff
9800	Millennium Broom
9900	Saint Staff
9A00	Crystal Rod
9B00	Billennium Broom
9C00	Dark Angel Staff
9D00	Legendary Rod
9E00	Fran's Broom
9F00	Feminine Rod
A000	Platinum Rod
A100	Stack Staff
A200	Comet Halley
A300	Broken Arrow
A400	War Sling
A500	Short Bow
A600	Blow Dart
A700	Medium Bow
A800	Fire Sling
A900	Longbow
AA00	Spirit Bow
AB00	Heavy Sling
AC00	Raider Bow
AD00	Bow of the Dead
AE00	Crossbow
AF00	Mythryl Bow
B000	Magic Sling
B100	Thunder Crossbow
B200	Silver Piercer
B300	Evil King Bow
B400	Dark Angel Bow
B500	Golden Piercer
B600	Eden Bow
B700	Drake Sniper
B800	Wide Sling
B900	Eagle Eye
BA00	Fairy Ballista
BB00	Pot Lid
BC00	Leather Buckler
BD00	Buckler
BE00	Leather Shield
BF00	Kite Shield
C000	Round Shield
C100	Scale Shield
C200	Mythryl Shield
C300	Tower Shield
C400	King Shield
C500	Dark Angel Shield
C600	Aegis Mirror
C700	Legendary Shield
C800	Poineerden
C900	Shield Book
CA00	Strong Shield Book
CB00	Evil Shield Book
CC00	Big Shield Book
CD00	Dark Shield Book
CE00	Legendary Book
CF00	Dragon Shield Book
D000	Fresh Meat Shield
D100	Angel Shield Book
D200	Crappy Armor
D300	Leather Chest
D400	Leather Armor
D500	Wooden Armor
D600	Ashigaru Armor
D700	Chainmail
D800	Breastplate
D900	Magic Breast
DA00	Saint Breast
DB00	High Leather Armor
DC00	Samurai Armor
DD00	Plate Armor
DE00	Dar Breast
DF00	Mythryl Armor
E000	Shinobi Armor
E100	Captain Armor
E200	Majestic Mail
E300	General Armor
E400	Dark Angel Armor
E500	Crystal Shadow
E600	Legendary Mail
E700	Drake Shell
E800	Crumby CLothes
E900	Traveler Clothes
EA00	Battle Clothes
EB00	Battle Tunic
EC00	Forest Robe
ED00	Thief Clothes
EE00	Healing Tunic
EF00	Assassin Clothes
F000	Magical Tunic
F100	Foreign Clothes
F200	Raider Clothes
F300	Elven Robe
F400	Beast Garb
F500	Shinobi Clothes
F600	Saint Robe
F700	Harakiri CLothes
F800	Fairy Robe
F900	Wizard Robe
FA00	Falcon Clothes
FB00	Holy Robe
FC00	Big Spirit Robe
FD00	Moonless Garb
FE00	King Robe
FF00	Prometh's Dress
0001	Kensei Clothes
0101	Clover Garb
0201	Eden Tunic
0301	Fran's Dress
0401	Muramasa CLothes
0501	Hole-y Pot
0601	Leather Helm
0701	Wood Helm
0801	Ashigaru Helm
0901	Chain Helm
0A01	Wing Helm
0B01	Magic Helm
0C01	Samurai Helm
0D01	High Leather Helm
0E01	Plate Helm
0F01	Dar Helm
1001	Mythryl Helm
1101	Shinobi Helm
1201	Captain Helm
1301	Majestic Helm
1401	General Helm
1501	Dark Angel Helm
1601	Crystal Guard
1701	Legendary Helm
1801	Drake Head
1901	Ripped Bandana
1A01	Headband
1B01	Circlet
1C01	Leather Cap
1D01	Forester Hat
1E01	Steel Hairband
1F01	Thied Feather
2001	Healing Hat
2101	Magic Hat
2201	Assassin Mask
2301	Samurai Band
2401	Raider Cap
2501	High Leather Cap
2601	Elven Ribbon
2701	Shinobi Cloth
2801	Beast Mask
2901	Kenkyaku Clip
2A01	Saint Cap
2B01	Spirit Cap
2C01	Wizard Cone
2D01	Eagle Mask
2E01	Holy Crown
2F01	Moonlight Mask
3001	Big Spirit Cap
3101	King Crown
3201	Lucky Feather
3301	Kensei Clip
3401	Prometh's Veil
3501	Eden Ribbon
3601	Fran's Clip
3701	Dirty Undies
3801	Linen Undies
3901	Leather Undies
3A01	Wind Undies
3B01	Water Undies
3C01	Chain Undies
3D01	Magic Tights
3E01	Healing Undies
3F01	Samurai Undies
4001	Pinay's Undies
4101	Elven Tights
4201	Scale Undies
4301	High Leather Undies
4401	Quality Undies
4501	Tiger Undies
4601	Shinobi Undies
4701	Knight Chain Undies
4801	Lorna's Undies
4901	Mythryl Undies
4A01	Spirit Undies
4B01	King Undies
4C01	Angel Undies
4D01	Demon Undies
4E01	Lulu's Tights
4F01	Top Quality Undies
5001	Prometh's Undies
5101	Legendary Undies
5201	Eden Undies
5301	Fran's Bra
5401	Drake Tights
5501	Towel
5601	Patched Cape
5701	Battle Cape
5801	Thief Hat
5901	Gazer Chain
5A01	Warrior Charm
5B01	Healing Ankh
5C01	Magic Stole
5D01	Hunter Feather
5E01	Knight Cape
5F01	Elven Stole
6001	Assassin Scarf
6101	Knight Tie
6201	Shark Badge
6301	King Dar's Ring
6401	Rabbit Badge
6501	Samurai Sash
6601	Butterfly Charm
6701	Illusion Scarf
6801	Fairy Stole
6901	Eagle Feather
6A01	Dark Angel Cape
6B01	King's Ring
6C01	Holy Ankh
6D01	Crimson Scarf
6E01	Star Ankh
6F01	Legendary Cape
7001	Dragon Scale
7101	Kensei Band
7201	Prometh's Hairband
7301	7-Leaf Clover
7401	Eden Stole
7501	Crystal Fur
7601	Muramasa Band
